"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed May 08 06:09:47 UTC 2024","Wed May 08 06:09:47 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed May 08 06:37:25 UTC 2024","Wed May 08 06:37:35 UTC 2024","9847","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"failed","Wed May 08 06:13:36 UTC 2024","Wed May 08 06:13:55 UTC 2024","18794","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"skipped","Wed May 08 06:09:47 UTC 2024","Wed May 08 06:09:47 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Wed May 08 05:51:27 UTC 2024","Wed May 08 05:51:32 UTC 2024","4808","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Wed May 08 06:24:46 UTC 2024","Wed May 08 06:24:56 UTC 2024","10038","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"skipped","Wed May 08 05:46:46 UTC 2024","Wed May 08 05:46:46 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Wed May 08 05:27:05 UTC 2024","Wed May 08 05:28:42 UTC 2024","97747","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Wed May 08 06:24:57 UTC 2024","Wed May 08 06:25:10 UTC 2024","12733","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"skipped","Wed May 08 06:09:47 UTC 2024","Wed May 08 06:09:47 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Wed May 08 06:24:39 UTC 2024","Wed May 08 06:24:41 UTC 2024","2194","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"broken","Wed May 08 06:09:47 UTC 2024","Wed May 08 06:09:47 UTC 2024","2","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"broken","Wed May 08 05:46:46 UTC 2024","Wed May 08 05:46:46 UTC 2024","2","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Wed May 08 06:30:19 UTC 2024","Wed May 08 06:30:33 UTC 2024","14468","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Wed May 08 05:49:03 UTC 2024","Wed May 08 05:49:21 UTC 2024","17954","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"skipped","Wed May 08 08:08:56 UTC 2024","Wed May 08 08:08:56 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"skipped","Wed May 08 08:08:56 UTC 2024","Wed May 08 08:08:56 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Wed May 08 07:12:11 UTC 2024","Wed May 08 07:12:32 UTC 2024","21090","","21. Forgot password function","","","","2. Reset password",""
"passed","Wed May 08 06:24:56 UTC 2024","Wed May 08 06:24:57 UTC 2024","1327","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"skipped","Wed May 08 05:46:46 UTC 2024","Wed May 08 05:46:46 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Wed May 08 06:37:35 UTC 2024","Wed May 08 06:37:37 UTC 2024","2394","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"skipped","Wed May 08 06:09:47 UTC 2024","Wed May 08 06:09:47 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Wed May 08 06:37:12 UTC 2024","Wed May 08 06:37:25 UTC 2024","12637","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Wed May 08 05:51:26 UTC 2024","Wed May 08 05:51:27 UTC 2024","1064","","12. Client Portal - Forms","","","","2. Check Form Page",""
"skipped","Wed May 08 08:08:56 UTC 2024","Wed May 08 08:08:56 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Wed May 08 06:25:10 UTC 2024","Wed May 08 06:25:20 UTC 2024","9928","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"broken","Wed May 08 08:08:56 UTC 2024","Wed May 08 08:08:56 UTC 2024","2","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Wed May 08 05:30:19 UTC 2024","Wed May 08 05:30:38 UTC 2024","19096","","9. Client Portal - Home","","","","1. Check links",""
"passed","Wed May 08 07:12:07 UTC 2024","Wed May 08 07:12:11 UTC 2024","3905","","21. Forgot password function","","","","1. Direct to forgot password page",""
"skipped","Wed May 08 05:46:46 UTC 2024","Wed May 08 05:46:46 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Wed May 08 06:30:33 UTC 2024","Wed May 08 06:34:43 UTC 2024","249509","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Wed May 08 05:49:22 UTC 2024","Wed May 08 05:49:40 UTC 2024","18573","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Wed May 08 06:37:37 UTC 2024","Wed May 08 06:37:42 UTC 2024","4254","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Wed May 08 06:24:41 UTC 2024","Wed May 08 06:24:46 UTC 2024","4509","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Wed May 08 06:24:36 UTC 2024","Wed May 08 06:24:39 UTC 2024","2830","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"skipped","Wed May 08 05:46:46 UTC 2024","Wed May 08 05:46:46 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"failed","Wed May 08 06:25:20 UTC 2024","Wed May 08 06:27:52 UTC 2024","152064","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"skipped","Wed May 08 05:46:46 UTC 2024","Wed May 08 05:46:46 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Wed May 08 05:51:11 UTC 2024","Wed May 08 05:51:26 UTC 2024","15004","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"skipped","Wed May 08 05:46:46 UTC 2024","Wed May 08 05:46:46 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Wed May 08 06:24:33 UTC 2024","Wed May 08 06:24:36 UTC 2024","3058","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"skipped","Wed May 08 08:08:56 UTC 2024","Wed May 08 08:08:56 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"skipped","Wed May 08 06:09:47 UTC 2024","Wed May 08 06:09:47 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Wed May 08 06:24:23 UTC 2024","Wed May 08 06:24:33 UTC 2024","10145","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Wed May 08 05:48:49 UTC 2024","Wed May 08 05:49:03 UTC 2024","14553","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"skipped","Wed May 08 05:46:46 UTC 2024","Wed May 08 05:46:46 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"skipped","Wed May 08 08:08:56 UTC 2024","Wed May 08 08:08:56 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed May 08 05:49:21 UTC 2024","Wed May 08 05:49:22 UTC 2024","230","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Wed May 08 05:51:32 UTC 2024","Wed May 08 05:51:33 UTC 2024","1402","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
